days,campus,condition,canopy,ID,start.date.t1,age,gender,video,participated,diet.t1,spillover,spillover.when,socdes1,socdes2,socdes3,socdes4,socdes5,socdes6,socdes7,socdes8,socdes9,socdes10,socdes11,socdes12,socdes13,watched,minimize.pork.t1,suffering.t1,diet.t2,minimize.pork.t2,suffering.t2,data.available
3,5,2,0,17450918,4/13/2017,19,1,2,2,0,1,2,0,0,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0,5,5,3
3,25,2,0,17048317,3/9/2017,19,1,2,2,0,1,1,1,1,1,0,1,0,1,0,1,0,0,0,1,0,5,5,0,5,5,3
3,8,1,0,17066025,3/10/2017,27,2,3,3,3,0,,0,0,0,0,1,0,1,0,1,1,0,0,0,0,5,5,0,1,1,3
3,25,2,0,17048323,3/9/2017,27,1,2,2,1,0,,1,1,0,1,1,1,1,0,1,1,1,0,0,0,5,5,0,5,5,3
2,20,1,0,17503338,4/19/2017,22,1,2,2,1,0,,0,0,0,0,1,0,1,0,1,1,0,0,0,0,5,5,0,5,5,3
3,25,2,0,17048321,3/9/2017,18,1,2,2,1,0,,0,0,0,0,1,0,1,0,1,1,0,0,0,0,5,5,0,5,5,3
2,22,1,0,17387655,4/6/2017,21,1,2,2,1,0,,0,1,0,0,1,1,1,0,1,1,0,0,0,0,5,5,0,5,5,3
3,14,1,0,17456929,4/14/2017,19,1,2,2,1,0,,0,1,1,1,1,0,1,1,1,0,0,0,0,0,5,5,0,5,5,3
3,18,2,2,17382402,4/6/2017,18,1,2,2,1,0,,1,1,0,1,0,0,1,1,1,0,1,0,0,0,5,5,0,3,4,3
3,21,2,0,17733086,5/10/2017,32,1,2,2,1,0,,0,0,1,1,1,1,1,0,1,0,1,0,0,0,3,4,0,4,4,3
2,22,2,0,17374421,4/5/2017,19,1,2,2,4,0,,1,1,0,1,0,0,1,0,1,0,1,1,1,0,5,5,0,5,5,3
3,6,1,0,17641850,5/2/2017,23,1,2,2,4,0,,1,1,1,1,1,1,1,1,1,0,1,1,1,0,5,5,0,5,5,3
3,5,2,0,17450964,4/13/2017,19,1,2,3,0,0,,0,1,0,0,1,0,1,1,1,1,1,1,1,0,5,5,0,5,5,3
2,10,1,0,17374385,4/4/2017,20,1,2,2,0,0,,0,0,0,0,1,1,0,0,1,0,1,0,0,0,5,5,0,5,5,3
3,4,2,0,17309118,3/29/2017,19,1,2,2,0,0,,1,1,0,0,1,0,1,0,1,0,1,0,0,0,5,5,0,5,5,3
1,29,2,0,17581913,4/26/2017,21,1,2,2,0,0,,1,1,1,1,1,1,1,1,1,1,1,1,1,0,5,5,0,1,1,3
3,21,2,0,17733094,5/10/2017,21,1,2,2,0,0,,0,1,0,0,1,1,1,1,0,0,1,0,0,0,5,5,0,5,5,3
3,31,1,0,17767010,5/12/2017,31,1,2,2,0,0,,1,1,1,0,1,0,1,0,1,0,1,0,1,0,4,4,0,5,5,3
3,31,2,0,17821361,5/16/2017,29,1,2,2,0,0,,0,1,0,0,1,0,1,0,1,0,1,1,1,0,5,5,0,5,5,3
3,17,2,0,17368199,4/4/2017,20,1,2,2,0,0,,1,1,1,1,1,1,0,1,1,0,1,1,0,0,5,5,0,5,5,3
3,32,1,0,17037567,3/7/2017,21,4,2,2,0,0,,1,0,1,0,1,1,1,0,1,0,0,0,1,0,5,5,0,5,5,3
3,26,1,0,17307313,3/29/2017,27,1,2,2,0,0,,1,1,1,0,1,0,0,0,0,0,1,0,0,0,5,5,0,4,5,3
3,31,2,0,17821391,5/16/2017,20,1,2,2,0,0,,1,0,1,0,1,1,1,1,1,0,1,1,1,0,5,5,0,5,5,3
3,16,2,0,17709679,5/8/2017,23,2,2,2,0,0,,0,1,0,0,0,1,1,0,1,0,0,1,1,0,4,4,0,4,5,3
2,20,1,0,17503271,4/19/2017,40,1,2,2,0,0,,1,1,1,0,1,0,1,1,0,1,1,0,0,0,5,5,0,5,5,3
3,9,2,0,17205920,3/20/2017,21,1,2,2,0,0,,1,1,1,0,1,1,0,1,1,0,1,1,1,0,5,5,0,5,5,3
3,2,2,0,17430860,4/11/2017,18,2,2,2,0,0,,1,0,1,0,1,1,0,0,0,1,1,0,1,0,5,5,0,5,5,3
2,20,2,0,17514645,4/20/2017,24,1,2,2,0,0,,1,1,0,0,1,0,1,0,1,0,0,0,1,0,5,4,0,4,4,3
3,9,2,0,17205875,3/20/2017,22,1,2,2,0,0,,1,1,0,0,1,1,1,0,1,1,1,1,0,0,5,5,0,5,4,3
3,26,2,0,17351826,3/30/2017,31,1,2,2,0,0,,1,1,1,0,0,0,1,0,1,0,1,1,0,0,5,5,0,4,4,3
1,29,1,0,17607902,4/28/2017,19,1,2,2,0,0,,1,0,0,1,1,0,0,1,1,0,1,0,1,0,4,5,0,4,5,3
3,6,2,0,17654173,5/3/2017,64,1,2,2,0,0,,1,0,1,0,1,0,1,0,1,0,0,1,1,0,5,5,0,5,5,3
3,34,2,0,17212627,3/15/2017,21,1,2,2,0,0,,0,1,0,1,1,0,1,0,1,0,1,1,0,0,5,5,0,5,5,3
3,32,2,0,17037521,3/8/2017,22,1,2,2,0,0,,0,1,1,0,1,0,0,0,1,0,0,0,0,0,5,5,0,5,5,3
3,32,1,0,17037527,3/7/2017,36,1,2,2,0,0,,1,0,0,0,1,0,1,0,0,0,1,0,1,0,5,5,0,5,5,3
2,28,1,0,17540563,4/21/2017,22,1,2,2,0,0,,1,0,1,1,1,0,1,0,0,0,1,0,0,0,5,5,0,5,5,3
3,7,2,1,17598449,4/27/2017,45,1,2,2,0,0,,0,0,0,0,1,0,1,0,1,1,0,0,1,0,5,5,0,5,4,3
3,31,2,0,17821381,5/16/2017,19,3,2,2,0,0,,1,1,0,0,1,0,1,0,1,0,1,0,0,0,5,5,0,5,5,3
3,18,2,2,17382389,4/6/2017,19,1,2,2,0,0,,1,0,0,0,1,0,1,0,0,0,0,0,0,0,5,5,0,3,5,3
3,32,1,0,17037566,3/7/2017,20,1,2,2,0,0,,0,1,1,0,0,1,0,1,0,0,1,0,0,0,5,5,0,5,5,3
2,13,1,0,17304512,3/24/2017,22,1,2,2,0,0,,1,1,1,0,1,0,1,0,1,1,0,0,1,0,5,5,0,5,5,3
1,29,2,0,17581954,4/26/2017,20,1,2,2,0,0,,0,0,0,1,1,1,1,0,1,1,1,1,0,0,1,5,0,5,5,3
3,8,1,0,17066026,3/10/2017,20,1,2,2,0,0,,1,0,0,0,1,1,1,0,1,1,0,0,1,0,5,4,0,3,2,3
2,10,1,0,17374391,4/4/2017,33,1,2,2,0,0,,0,1,0,1,1,1,1,0,0,0,1,1,0,0,5,5,0,5,5,3
3,18,2,2,17382407,4/6/2017,20,1,2,2,0,0,,0,1,0,1,1,0,1,1,1,1,1,1,0,0,5,5,0,5,5,3
3,14,1,0,17456935,4/14/2017,22,1,2,2,0,0,,0,1,1,1,0,1,1,1,1,0,1,1,0,0,5,5,0,5,5,3
3,32,2,0,17037515,3/8/2017,30,1,2,2,0,0,,1,1,1,0,0,0,1,0,1,0,1,0,1,0,4,5,0,5,5,3
2,28,2,0,17558039,4/24/2017,20,1,2,2,0,0,,1,0,1,1,1,1,1,0,1,0,0,0,1,0,4,4,0,5,4,3
3,26,1,0,17307320,3/29/2017,29,2,2,2,0,0,,0,1,1,0,0,1,1,1,1,0,0,1,0,0,5,5,0,5,5,3
3,8,1,0,17066008,3/10/2017,19,1,2,2,0,0,,1,1,1,1,1,0,1,0,1,1,1,1,1,0,5,5,0,5,5,3
3,25,2,0,17048334,3/9/2017,20,1,2,2,0,0,,1,0,0,1,1,0,1,0,1,1,0,1,1,0,5,5,0,5,5,3
3,32,2,0,17037512,3/8/2017,57,1,2,2,0,0,,1,0,1,1,1,1,0,1,0,1,1,1,0,0,5,4,0,4,5,3
3,4,2,0,17309117,3/29/2017,18,1,1,,0,0,,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,5,0,5,5,3
3,35,1,0,17502255,4/19/2017,23,1,1,,0,0,,0,1,1,0,1,0,1,0,0,0,1,0,0,0,5,5,0,5,5,3
3,25,2,0,17048337,3/9/2017,20,1,2,2,0,1,3,0,0,0,0,0,0,1,0,1,0,0,0,1,1,5,5,0,5,5,3
3,7,2,1,17598399,4/27/2017,48,1,2,2,2,1,4,1,1,0,1,1,1,0,0,1,1,0,1,0,1,5,5,0,3,2,3
3,30,1,0,17421117,4/10/2017,19,1,2,2,4,1,4,0,1,1,1,1,1,1,0,1,0,0,0,0,1,5,5,0,5,5,3
3,17,2,0,17368189,4/4/2017,20,2,2,2,0,1,4,1,1,0,1,0,1,0,1,0,0,1,1,0,1,5,5,0,5,5,3
2,13,2,0,17286863,3/27/2017,19,1,2,2,0,1,4,0,0,1,1,1,0,1,0,1,1,1,0,0,1,5,5,0,5,5,3
2,20,1,0,17503330,4/19/2017,26,2,1,,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,0,5,5,3
1,29,1,0,17607877,4/28/2017,21,2,3,2,0,1,2,0,0,1,0,1,1,1,1,1,1,0,0,0,1,3,4,0,3,4,3
2,13,2,0,17286836,3/27/2017,18,1,2,2,0,1,2,0,0,0,0,1,1,1,1,0,0,0,1,0,1,5,5,0,5,5,3
1,29,1,0,17607900,4/28/2017,19,1,2,2,0,1,2,1,1,1,1,0,1,0,0,1,0,1,0,0,1,1,1,0,5,5,3
3,14,1,0,17462393,4/14/2017,26,2,2,2,0,1,2,1,1,1,0,0,1,0,1,1,0,1,1,0,1,5,5,0,5,5,3
3,30,2,0,17441636,4/12/2017,18,1,2,2,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,0,1,5,5,0,5,5,3
3,26,1,0,17307306,3/29/2017,18,2,2,1,1,1,1,1,0,1,0,0,0,0,1,1,1,0,1,0,1,2,4,0,2,2,3
3,4,1,0,17318121,3/30/2017,18,1,2,2,0,1,1,0,1,0,0,1,1,1,0,1,0,0,0,0,1,5,5,0,5,5,3
3,18,2,2,17382391,4/6/2017,23,2,2,2,0,1,1,0,1,0,0,1,1,1,0,1,0,1,1,0,1,5,5,0,5,5,3
3,21,2,0,17733115,5/10/2017,22,2,2,2,0,1,1,1,1,1,0,1,0,1,1,0,0,1,0,1,1,5,5,0,5,5,3
3,4,1,0,17318135,3/30/2017,21,2,3,2,1,0,,1,0,1,1,1,1,0,0,1,0,0,0,1,1,4,5,0,4,5,3
3,4,1,0,17318144,3/30/2017,25,1,3,2,3,0,,0,0,1,0,1,0,1,0,1,0,0,0,1,1,5,5,0,5,5,3
3,9,1,0,17224563,3/22/2017,23,2,3,3,0,0,,1,0,1,1,0,1,1,0,1,1,1,0,0,1,5,5,0,5,5,3
2,20,1,0,17503294,4/19/2017,19,2,3,3,0,0,,1,1,1,1,0,1,1,1,1,0,0,1,0,1,5,5,0,5,5,3
3,4,1,0,17318172,3/30/2017,21,1,3,3,0,0,,0,0,0,0,0,0,1,0,1,0,1,1,0,1,4,4,0,4,5,3
3,8,2,0,17105383,3/13/2017,21,1,3,2,0,0,,1,1,1,0,1,0,1,0,1,0,0,0,0,1,5,5,0,5,5,3
3,32,1,0,17037506,3/7/2017,19,1,3,2,0,0,,1,1,1,0,1,1,1,0,1,1,1,0,0,1,5,5,0,5,5,3
3,17,1,0,17373089,4/5/2017,19,1,3,2,0,0,,0,0,0,0,1,1,1,1,1,0,1,0,1,1,5,5,0,5,5,3
3,2,1,0,17450257,4/13/2017,19,1,3,2,0,0,,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,5,5,3
3,32,2,0,17037575,3/8/2017,20,1,3,2,0,0,,1,0,1,0,0,0,1,0,1,0,1,1,1,1,5,5,0,5,5,3
3,5,2,0,17450946,4/13/2017,20,1,3,2,0,0,,1,1,0,1,0,1,0,1,1,0,1,1,0,1,4,5,0,4,3,3
3,4,1,0,17318184,3/30/2017,23,2,3,2,0,0,,1,0,0,0,0,0,1,0,0,0,1,1,0,1,1,1,0,5,5,3
3,8,2,0,17105370,3/13/2017,31,1,3,2,0,0,,0,0,0,0,1,0,1,0,1,0,1,1,0,1,5,5,0,5,5,3
3,18,2,2,17382423,4/6/2017,18,2,3,2,0,0,,1,1,1,0,1,0,1,0,1,1,1,1,0,1,5,3,0,5,3,3
3,8,1,0,17066042,3/10/2017,23,2,3,1,0,0,,0,0,0,0,1,0,1,0,1,1,0,0,0,1,5,5,0,5,5,3
2,22,1,0,17387675,4/6/2017,19,1,2,2,5,0,,1,1,0,0,1,0,0,1,0,0,1,0,0,1,3,1,0,5,5,3
3,8,1,0,17066032,3/10/2017,18,1,2,2,5,0,,0,0,1,0,1,0,1,0,0,0,0,0,0,1,3,4,0,3,3,3
2,24,1,0,17282914,3/27/2017,47,2,2,2,5,0,,0,1,0,0,0,1,0,1,0,0,0,1,0,1,2,4,0,3,3,3
3,30,1,0,17421104,4/10/2017,32,1,2,2,5,0,,0,0,0,0,0,0,1,0,1,0,0,0,1,1,3,3,0,2,4,3
2,22,2,0,17374453,4/5/2017,22,1,2,2,2,0,,1,1,0,0,1,0,1,0,1,0,0,0,0,1,5,5,0,5,5,3
2,22,1,0,17387673,4/6/2017,53,1,2,2,2,0,,0,1,0,0,1,1,1,1,1,0,0,1,1,1,1,5,0,5,5,3
3,21,1,0,17733069,5/9/2017,23,2,2,2,2,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,0,4,4,3
3,21,1,0,17733072,5/9/2017,21,2,2,2,2,0,,0,0,0,0,1,0,1,0,1,1,0,0,0,1,3,4,0,2,2,3
3,7,2,1,17598401,4/27/2017,18,1,2,2,2,0,,0,0,1,0,1,1,1,1,1,1,0,1,0,1,5,5,0,4,4,3
3,30,2,0,17441623,4/12/2017,19,1,2,2,2,0,,1,1,1,0,1,1,1,1,0,0,1,1,0,1,5,5,0,5,5,3
2,22,2,0,17374407,4/5/2017,25,1,2,2,2,0,,0,0,0,0,1,1,0,0,1,0,1,0,0,1,5,5,0,5,5,3
1,29,1,0,17607876,4/28/2017,19,1,2,2,2,0,,1,1,0,0,1,0,1,0,1,1,1,1,1,1,4,4,0,4,5,3
2,10,1,0,17374383,4/4/2017,20,1,2,2,2,0,,1,0,0,0,1,0,1,1,0,0,1,0,1,1,5,5,0,5,5,3
3,23,1,0,17680759,5/5/2017,18,2,2,2,2,0,,0,1,0,0,1,0,1,0,1,1,1,0,1,1,3,4,0,3,4,3
3,35,2,0,17583257,4/21/2017,22,2,2,2,2,0,,0,0,1,1,0,0,0,0,1,1,1,0,0,1,4,4,0,4,4,3
